modelo,Index_A,Index_B,Index_C,Index_D,Index_E,Index_F,A+D,MACRO,MACRO_recent
drift_blend_5y_0.7,66667.78455042143,11931.098861900064,7186.074011223464,72722.11941667265,5414.837930113394,1399.8896284818031,139389.90396709408,27553.634066468803,94787.26495081057
drift_blend_5y_0.5,66715.85408589094,11960.890041861101,7293.035221124024,72710.4309905292,5468.354379862697,1408.5234331418812,139426.28507642014,27592.848025401643,94889.3775806988
drift_full,66951.75574940845,12022.452975558406,7073.569984633134,73096.26080515429,5354.802555463877,1391.35584055185,140048.01655456272,27648.366318461663,94860.7139650936
drift_blend_3y_0.7,67960.03046523464,11853.631392540034,7276.563012753003,74219.98151348793,5516.177756249173,1450.2162053122195,142180.01197872258,28046.10005759617,96893.83562039018
drift_recent_5y,67714.25618392443,12323.618761111882,7660.189697135019,73573.47439395993,5658.364828830755,1441.2790109349505,141287.73057788436,28061.863812649495,95787.51788591733
drift_blend_3y_0.5,68986.22819127886,11829.968793702254,7475.468600988536,75301.60259676974,5652.709453151863,1501.1229610833961,144287.8307880486,28457.850099495772,98644.67213857383
blend_full_0.7,69590.1984667289,11710.360545143418,7044.314196995571,75727.3414327153,5467.946333411626,1391.7709105032247,145317.5398994442,28488.655314249674,98251.24407948113
blend_full_0.5,72009.06997963267,11967.39219992087,7094.9239630380425,78068.05390143844,5615.693341473455,1392.0562020984687,150077.1238810711,29357.86493126699,100859.85890800865
drift_recent_3y,73233.24897538852,12089.853857364416,8157.3664566669,79592.20154758105,6081.0218632807855,1688.6046507528315,152825.45052296956,30140.382891839083,105247.32019163914
damped_252_098,73503.49056583234,14140.3268437074,7098.431474487029,80056.7409281551,5848.8719376181325,1448.9823194831467,153560.23149398743,30349.47401154719,101191.45381566271
drift_log_756,75456.99561870257,12600.744096383496,8298.466012512494,82589.67532005126,6389.742969691083,1860.6419265919649,158046.6709387538,31199.377657322144,111120.17876300462
naive_flat,79638.10558668649,13932.812267620158,7432.631938670786,85393.4630951488,6187.804498506019,1392.7987587742557,165031.5686818353,32329.602690901087,108145.83583454326
ewma_30,87616.31072773377,14470.743070745755,7740.574793350638,87768.55059555966,6471.893469776405,1342.8510667308879,175384.86132329341,34235.15395398285,111537.1132998242
drift_log_252,82766.62591373554,16935.79152835297,8672.154396650114,92638.20424423447,6679.967456115031,3038.672859975948,175404.83015797002,35121.90273317735,129593.81216034795
